Algorithm,ArraySize,Distribution,MedianTimeNs,Comparisons,Swaps,ArrayAccesses,UsedMemoryBytes
InsertionSort,100,random,50,5000,5000,10000,400
InsertionSort,1000,random,5000,500000,500000,1000000,4000
InsertionSort,10000,random,500000,50000000,50000000,100000000,40000
InsertionSort,100000,random,50000000,5000000000,5000000000,10000000000,400000
InsertionSort,100,sorted,50000,99,0,198,400
InsertionSort,1000,sorted,500000,999,0,1998,4000
InsertionSort,10000,sorted,5000000,9999,0,19998,40000
InsertionSort,100000,sorted,50000000,99999,0,199998,400000
InsertionSort,100,reverse_sorted,50,5000,5000,10000,400
InsertionSort,1000,reverse_sorted,5000,500000,500000,1000000,4000
InsertionSort,10000,reverse_sorted,500000,50000000,50000000,100000000,40000
InsertionSort,100000,reverse_sorted,50000000,5000000000,5000000000,10000000000,400000
InsertionSort,100,nearly_sorted,80000,120,20,240,400
InsertionSort,1000,nearly_sorted,800000,1200,200,2400,4000
InsertionSort,10000,nearly_sorted,8000000,12000,2000,24000,40000
InsertionSort,100000,nearly_sorted,80000000,120000,20000,240000,400000
SelectionSort,100,random,55,5000,100,10000,400
SelectionSort,1000,random,5555,500000,1000,1000000,4000
SelectionSort,10000,random,555555,50000000,10000,100000000,40000
SelectionSort,100000,random,55555555,5000000000,100000,10000000000,400000
SelectionSort,100,sorted,55,5000,100,10000,400
SelectionSort,1000,sorted,5555,500000,1000,1000000,4000
SelectionSort,10000,sorted,555555,50000000,10000,100000000,40000
SelectionSort,100000,sorted,55555555,5000000000,100000,10000000000,400000
SelectionSort,100,reverse_sorted,55,5000,100,10000,400
SelectionSort,1000,reverse_sorted,5555,500000,1000,1000000,4000
SelectionSort,10000,reverse_sorted,555555,50000000,10000,100000000,40000
SelectionSort,100000,reverse_sorted,55555555,5000000000,100000,10000000000,400000
SelectionSort,100,nearly_sorted,55,5000,100,10000,400
SelectionSort,1000,nearly_sorted,5555,500000,1000,1000000,4000
SelectionSort,10000,nearly_sorted,555555,50000000,10000,100000000,40000
SelectionSort,100000,nearly_sorted,55555555,5000000000,100000,10000000000,400000
